Reference,Quantity,Identifier,Package,Value,Tolerance,Voltage,Current,Power,PN,Mouser
"U101","1","","","STM32F070C6T6","","","","","","511-STM32F070C6T6"
"C111;C103;C110;C101;C104;C105;C102;C118;C121;C112;C113;C107","12","","","100nF 20%","","","","","","710-885012207016"
"R103","1","","","1.58k 1%","","","","","","660-RN73H1JTD1581D25"
"R104","1","","","15.8k 1%","","","","","","667-ERJ-8ENF1582V"
"C108","1","","","100nF 2%","","","","","","667-ECH-U1C104GX5"
"C109","1","","","10nF 1%","","","","","","81-GRM2195C1H103FA1D"
"U102","1","","","TLV9062IDR","","","","","","595-TLV9062IDR"
"R102;R105;R109;R110;R112;R107","6","","","100k 1%","","","","","","71-CRCW1206100KFKEAC"
"R108","1","","","DNP","","","","","",""
"J102","1","","","UART","","","","","","855-M20-9990445"
"J103","1","","","SWD","","","","","","NoPart"
"C106","1","","","10nF 10%","","","","","","80-C0603C103M5RAUTO"
"R101","1","","","100 1%","","","","","","71-CRCW0603100RFKEAC"
"RV101","1","","","100k linear","","","","","","72-T70YE-100K"
"R106","1","","","10M 5%","","","","","","652-CR0603JW-106ELF"
"C120;C116;C117;C119;C115;C114","6","","","10uF 10%","","","","","","581-TAJB106K020RNJV"
"J106","1","","","POWER","","","","","","NoPart"
"TP108;TP107;TP106;TP105;TP104;TP103;TP101;TP102;TP109","9","","","TEST","","","","","","NoPart"
"U103","1","","","SG7050CAN_8.000000M-TJGA3","","","","","","732-7050CA8.00TJGA3"
"U104","1","","","TLV74133PDBVR","","","","","","595-TLV74133PDBVR"
"J104","1","","","TX_PADS","","","","","","NoPart"
"J105","1","","","RX_PAD","","","","","","NoPart"
"SW101","1","","","SW_Push","","","","","","612-LL3301NF065QG"
"R111","1","","","1 5%","","","","","","755-ESR03EZPJ1R0"
"Q101","1","","","RU1C002ZPTCL","","","","","","755-RU1C002ZPTCL"
"D102","1","","","ESD9X5.0ST5G","","","","","","863-ESD9X5.0ST5G"
"RV102","1","","","5k linear","","","","","","81-PVG5H502C03B00"
"J108","1","","","LL","","","","","","NoPart"
"J109","1","","","LR","","","","","","NoPart"
"J107","1","","","UR","","","","","","NoPart"
"J101","1","","","UL","","","","","","NoPart"
"D101;D103","2","","","ESD9B3.3ST5G","","","","","","863-ESD9B3.3ST5G"
"C122","1","","","16pF 5%","","","","","","963-TMK042CG160JC-W"
